,№,Адрес,Управляющий,Телефон,Год,Площадь м2,Жители
7,58,"г. Новосибирск, ул. Плахотного, д. 29",ЖСК «Металлург-2»,79538040204,1974,2 757.90,130
8,59,"г. Новосибирск, ул. Титова, д. 21/1",ЖСК «Мечта»,89139204089,1965,3 258.50,165
9,60,"г. Новосибирск, ул. Шукшина, д. 3/1",ЖСК «Мечта-2»,307-12-35,15.03.1986,2 673.00,147
10,61,"г. Новосибирск, ул. Станиславского, д. 21",ЖСК «Мотор»,8-923-150-97-36,1966,4 500.00,—
11,62,"г. Новосибирск, ул. Станиславского, д. 21/1",ЖСК «Нэти»,343-26-69,1966,4 176.50,135
12,63,"г. Новосибирск, пр-кт. Дзержинского, д. 23",ЖСК «Огонек»,279-79-92,—,2 561.00,—
13,64,"г. Новосибирск, ул. Бориса Богаткова, д. 264/1",ЖСК «Олимпиец»,8-913-907-08-61,1970,—,340
14,65,"г. Новосибирск, ул. Лазурная, д. 18",ЖСК «Орион»,2199444,—,—,—
15,66,"г. Новосибирск, ул. Дачная, д. 29",ЖСК «Первенец»,89133866090,—,3 214.30,—
16,67,"г. Новосибирск, ул. Есенина, д. 35",ЖСК «Подснежник»,267-40-67,1966,3 435.80,153
17,68,"г. Новосибирск, ул. Кошурникова, д. 37",ЖСК «Полёт»,8-960-796-85-85,1969,—,—
18,69,"г. Новосибирск, ул. Гидромонтажная, д. 54",ЖСК «Приморский»,89139510976,1969,2 645.10,—
19,70,"г. Новосибирск, ул. Жуковского, д. 119",ЖСК «Прогресс»,2269405,1964,2 552.60,103
20,71,"г. Новосибирск, ул. Королева, д. 27",ЖСК «Радист»,2795479,—,—,—
21,72,"г. Новосибирск, ул. Гоголя, д. 39",ЖСК «Рекорд»,89139062800,—,—,—
22,73,"г. Новосибирск, ул. Селезнева, д. 52",ЖСК «Ромашка»,83832110373,1986,8 626.10,—
23,74,"г. Новосибирск, ул. Дмитрия Донского, д. 19",ЖСК «Светлана»,8(383)226-00-59,—,—,—
24,75,"г. Новосибирск, пр-кт. Красный, д. 171/1",ЖСК «Светлана»,8(383)226-00-59,—,—,—
1,77,"г. Новосибирск, ул. Часовая, д. 13",ЖСК «Советский-1»,8 913 902 30 80,1966,3 123.00,157
2,78,"г. Новосибирск, ул. Дуси Ковальчук, д. 65",ЖСК «СОЮЗ-1»,+79139436235,1991,11 046.20,498
3,79,"г. Новосибирск, ул. Саввы Кожевникова, д. 5",ЖСК «Строитель-3»,89529478841,—,5 525.27,274
4,80,"г. Новосибирск, ул. Линейная, д. 31/4",ЖСК «Топаз»,89130634786,1979,8 607.20,403
5,81,"г. Новосибирск, ул. Челюскинцев, д. 38",ЖСК «Топограф»,+79139013076,1968,4 348.20,170
6,82,"г. Новосибирск, ул. Сибиряков-Гвардейцев, д. 4",ЖСК «Факел»,314-85-37,—,—,—
7,83,"г. Новосибирск, пр-кт. Комсомольский, д. 13",ЖСК «Фиалка»,89139158810,1967,4 560.80,117
8,84,"г. Новосибирск, ул. 1905 года, д. 17/1",ЖСК «Фриз»,89529120856,1994,5 687.00,219
9,85,"г. Новосибирск, ул. 1905 года, д. 17/2",ЖСК «Фриз»,89529120856,1994,5 641.00,209
10,86,"г. Новосибирск, ул. Нарымская, д. 19",ЖСК «Челюскинец»,+79139495057,—,—,—
11,87,"г. Новосибирск, ул. Гоголя, д. 184",ЖСК «Швейник»,+7-913-918-6369,1971,7 091.60,204
12,88,"г. Новосибирск, ул. Пархоменко, д. 126",ЖСК «жск энергия»,89059584629,1982,3 705.40,160
13,89,"г. Новосибирск, ул. Адриена Лежена, д. 6/1",ЖСК «Юбилейный»,83832677607,1968,4 396.00,196
14,90,"г. Новосибирск, ул. Связистов, д. 3",ЖСК «Янтарный»,(383)341-60-55,1976,5 282.60,195
15,91,"г. Новосибирск, ул. Связистов, д. 119",ЖСК «Метростроитель»,8 (383) 3561088,1985,33 763.70,207
16,92,"г. Новосибирск, ул. Шатурская, д. 6",УК «Академ Парк»,+79831253011,—,—,—
17,93,"г. Новосибирск, ул. 1905 года, д. 18",УК «МКС-Новосибирск»,233-03-10,1975,8 420.90,241
18,94,"г. Новосибирск, ул. 1905 года, д. 28",УК «МКС-Новосибирск»,233-03-10,1979,18 232.30,748
19,95,"г. Новосибирск, ул. 1905 года, д. 30",УК «МКС-Новосибирск»,233-03-10,1980,9 131.30,473
20,96,"г. Новосибирск, ул. 1905 года, д. 30/1",УК «МКС-Новосибирск»,233-03-10,1979,5 096.10,212
21,97,"г. Новосибирск, ул. 25 лет Октября, д. 8",УК «МКС-Новосибирск»,233-03-10,2008,6 296.18,170
22,98,"г. Новосибирск, ул. 3 Интернационала, д. 273",УК «МКС-Новосибирск»,233-03-10,—,—,—
23,99,"г. Новосибирск, ул. 3 Интернационала, д. 276",УК «МКС-Новосибирск»,233-03-10,—,—,—
24,100,"г. Новосибирск, ул. 3 Интернационала, д. 278",УК «МКС-Новосибирск»,233-03-10,—,—,—
1,102,"г. Новосибирск, ул. 40 лет Октября, д. 26",УК «МКС-Новосибирск»,233-03-10,1957,13.40,—
2,103,"г. Новосибирск, тер. 87 Квартал, д. 3",УК «МКС-Новосибирск»,233-03-10,1948,1 222.00,—
3,104,"г. Новосибирск, ул. 9-го Ноября, д. 62",УК «МКС-Новосибирск»,233-03-10,—,—,—
4,105,"г. Новосибирск, ул. 9-го Ноября, д. 64",УК «МКС-Новосибирск»,233-03-10,—,—,—
5,106,"г. Новосибирск, ул. 9-го Ноября, д. 66",УК «МКС-Новосибирск»,233-03-10,—,—,—
6,107,"г. Новосибирск, ул. 9-го Ноября, д. 68",УК «МКС-Новосибирск»,233-03-10,—,—,—
7,108,"г. Новосибирск, ул. 9-го Ноября, д. 70",УК «МКС-Новосибирск»,233-03-10,—,—,—
8,109,"г. Новосибирск, ул. 9-го Ноября, д. 72",УК «МКС-Новосибирск»,233-03-10,—,—,—
9,110,"г. Новосибирск, ул. 9-го Ноября, д. 74",УК «МКС-Новосибирск»,233-03-10,—,—,—
10,111,"г. Новосибирск, ул. 9-го Ноября, д. 95",УК «МКС-Новосибирск»,233-03-10,—,—,—
11,112,"г. Новосибирск, ул. 9-го Ноября, д. 218",УК «МКС-Новосибирск»,233-03-10,—,—,—
12,113,"г. Новосибирск, ул. 9-го Ноября, д. 221",УК «МКС-Новосибирск»,233-03-10,—,—,—
13,114,"г. Новосибирск, ул. 9-го Ноября, д. 249",УК «МКС-Новосибирск»,233-03-10,—,—,—
14,115,"г. Новосибирск, ул. Автогенная, д. 144а",УК «МКС-Новосибирск»,233-03-10,—,—,—
15,116,"г. Новосибирск, ул. Автогенная, д. 144б",УК «МКС-Новосибирск»,233-03-10,—,—,—
16,117,"г. Новосибирск, ул. Автогенная, д. 146",УК «МКС-Новосибирск»,233-03-10,—,—,—
17,118,"г. Новосибирск, ул. Автогенная, д. 148",УК «МКС-Новосибирск»,233-03-10,—,—,—
18,119,"г. Новосибирск, ул. Автогенная, д. 150",УК «МКС-Новосибирск»,233-03-10,—,—,—
19,120,"г. Новосибирск, ул. Автогенная, д. 150/1",УК «МКС-Новосибирск»,233-03-10,—,—,—
20,121,"г. Новосибирск, ул. Автогенная, д. 152",УК «МКС-Новосибирск»,233-03-10,—,—,—
21,122,"г. Новосибирск, ул. Автогенная, д. 152/1",УК «МКС-Новосибирск»,233-03-10,—,—,—
22,123,"г. Новосибирск, ул. Автогенная, д. 154",УК «МКС-Новосибирск»,233-03-10,—,—,—
